mercury,age,sex
1.7,0.21,male
1.72,0.33,male
8.8,2,male
5.9,2.2,male
101,8.5,male
85.4,11.5,male
118,11.5,male
183,13.5,male
168,16.5,male
218,16.5,male
180,17.5,male
264,20.5,male
481,22.5,male
485,24.5,male
221,24.5,male
406,25.5,male
252,26.5,male
329,26.5,male
316,26.5,male
445,26.5,male
278,27.5,male
286,28.5,male
315,29.5,male
241,31.5,male
397,31.5,male
209,36.5,male
314,37.5,male
318,39.5,male
2.5,0.8,female
9.35,1.5,female
4.01,1.75,female
29.8,5.5,female
45.3,7.5,female
101,8.5,female
135,11.5,female
142,17.5,female
180,17.5,female
174,18.5,female
247,19.5,female
223,21.5,female
167,21.5,female
157,25.5,female
177,25.5,female
475,32.5,female
342,34.5,female
